Fecha;Medida;Territorio;Valor;
07/07/2021;Confirmados PDIA;Andalucía;630002;
07/07/2021;Confirmados PDIA;Almería;56236;
07/07/2021;Confirmados PDIA;Cádiz;87087;
07/07/2021;Confirmados PDIA;Córdoba;57775;
07/07/2021;Confirmados PDIA;Granada;93417;
07/07/2021;Confirmados PDIA;Huelva;34061;
07/07/2021;Confirmados PDIA;Jaén;52764;
07/07/2021;Confirmados PDIA;Málaga;110104;
07/07/2021;Confirmados PDIA;Sevilla;138558;
07/07/2021;Aumento;Andalucía;2156;
07/07/2021;Aumento;Almería;110;
07/07/2021;Aumento;Cádiz;302;
07/07/2021;Aumento;Córdoba;228;
07/07/2021;Aumento;Granada;273;
07/07/2021;Aumento;Huelva;138;
07/07/2021;Aumento;Jaén;150;
07/07/2021;Aumento;Málaga;610;
07/07/2021;Aumento;Sevilla;345;
07/07/2021;Confirmados PDIA 14 días;Andalucía;18044;
07/07/2021;Confirmados PDIA 14 días;Almería;842;
07/07/2021;Confirmados PDIA 14 días;Cádiz;2478;
07/07/2021;Confirmados PDIA 14 días;Córdoba;2179;
07/07/2021;Confirmados PDIA 14 días;Granada;2473;
07/07/2021;Confirmados PDIA 14 días;Huelva;874;
07/07/2021;Confirmados PDIA 14 días;Jaén;1359;
07/07/2021;Confirmados PDIA 14 días;Málaga;4854;
07/07/2021;Confirmados PDIA 14 días;Sevilla;2985;
07/07/2021;Confirmados PDIA 7 días;Andalucía;9823;
07/07/2021;Confirmados PDIA 7 días;Almería;507;
07/07/2021;Confirmados PDIA 7 días;Cádiz;1393;
07/07/2021;Confirmados PDIA 7 días;Córdoba;1165;
07/07/2021;Confirmados PDIA 7 días;Granada;1221;
07/07/2021;Confirmados PDIA 7 días;Huelva;466;
07/07/2021;Confirmados PDIA 7 días;Jaén;724;
07/07/2021;Confirmados PDIA 7 días;Málaga;2935;
07/07/2021;Confirmados PDIA 7 días;Sevilla;1412;
07/07/2021;Total confirmados ;Andalucía;635413;
07/07/2021;Total confirmados ;Almería;56545;
07/07/2021;Total confirmados ;Cádiz;87471;
