Country, Population
China, 1402335080
India, 1361382447
United_States_of_America, 329566919
Indonesia, 266911900
Pakistan, 219379520
Brazil, 211429386
Nigeria, 206139587
Bangladesh, 168490066
Russia, 146745098
Mexico, 126577691
Japan, 125950000
Philippines, 108532192
Egypt, 100288554
Ethiopia, 98665000
Vietnam, 96208984
Democratic_Republic_of_the_Congo, 89561404
Iran, 83388356
Turkey, 83154997
Germany, 83149300
France, 67076000
Thailand, 66496742
United_Kingdom, 66435550
Italy, 60238522
South_Africa, 58775022
Tanzania, 55890747
Myanmar, 54339766
South_Korea, 51780579
Colombia, 49395678
Kenya, 47564296
Spain, 47100396
Argentina, 44938712
Algeria, 43000000
Sudan, 42448475
Ukraine, 41879904
Uganda, 40299300
Iraq, 39127900
Poland, 38379000
Canada, 38003657
Morocco, 35876953
Saudi_Arabia, 34218169
Uzbekistan, 34142780
Malaysia, 32758760
Afghanistan, 32225560
Venezuela, 32219521
Peru, 32131400
Angola, 31127674
Ghana, 30280811
Mozambique, 30066648
Nepal, 29996478
Yemen, 29825968
Cameroon, 26545864
Madagascar, 26251309
Cote_dIvoire, 25823071
Australia, 25686937
North_Korea, 25450000
Taiwan, 23604265
Niger, 22314743
Sri_Lanka, 21803000
Burkina_Faso, 20870060
Mali, 20250833
Romania, 19405156
Malawi, 19129952
Chile, 19107216
Kazakhstan, 18687408
Zambia, 17885422
Syria, 17500657
Ecuador, 17470920
Netherlands, 17458381
Guatemala, 16604026
Chad, 16244513
Senegal, 16209125
Somalia, 15893219
Cambodia, 15288489
Zimbabwe, 15159624
South_Sudan, 12778250
Rwanda, 12374397
Guinea, 12218357
Benin, 11733059
Tunisia, 11722038
Haiti, 11577779
Belgium, 11524454
Bolivia, 11469896
Cuba, 11209628
Burundi, 10953317
Greece, 10724599
Czechia, 10693939
Jordan, 10664600
Dominican_Republic, 10358320
Sweden, 10338368
Portugal, 10276617
Azerbaijan, 10067108
United_Arab_Emirates, 9890400
Hungary, 9772756
Belarus, 9408400
Israel, 9189450
Honduras, 9158345
Tajikistan, 9127000
Papua_New_Guinea, 8935000
Austria, 8902600
Switzerland, 8603899
Sierra_Leone, 7901454
Togo, 7538000
Hong_Kong, 7500700
Paraguay, 7252672
Laos, 7123205
Serbia, 6963764
Bulgaria, 6951482
Libya, 6871287
Lebanon, 6825442
Kyrgyzstan, 6533500
El_Salvador, 6486201
Nicaragua, 6460411
Turkmenistan, 6031187
Denmark, 5822763
Singapore, 5703600
Finland, 5527573
Congo, 5518092
Central_African_Republic, 5496011
Slovakia, 5456362
Norway, 5367580
Costa_Rica, 5058007
New_Zealand, 4980300
Palestine, 4976684
Ireland, 4921500
Oman, 4664790
Liberia, 4475353
Kuwait, 4420110
Panama, 4218808
Mauritania, 4077347
Croatia, 4076246
Georgia, 3723464
Uruguay, 3518552
Eritrea, 3497117
Mongolia, 3314032
Bosnia_and_Herzegovina, 3301000
Puerto_Rico, 3193694
Armenia, 2957500
Albania, 2845955
Lithuania, 2793471
Qatar, 2747282
Jamaica, 2726667
Moldova, 2681735
Namibia, 2458936
Gambia, 2347706
Botswana, 2338851
Gabon, 2172579
Slovenia, 2094060
North_Macedonia, 2077132
Lesotho, 2007201
Latvia, 1906800
Kosovo, 1795666
Guinea_Bissau, 1604528
Bahrain, 1543300
East_Timor, 1387149
Trinidad_and_Tobago, 1363985
Equatorial_Guinea, 1358276
Estonia, 1328360
Mauritius, 1265985
Eswatini, 1093238
Djibouti, 1078373
Fiji, 884887
Cyprus, 875900
Comoros, 873724
Guyana, 782766
Bhutan, 741672
Solomon_Islands, 680806
Macau, 679600
Montenegro, 622359
Luxembourg, 626108
Western_Sahara, 582463
Suriname, 581372
Cape_Verde, 550483
Malta, 493559
Transnistria, 469000
Brunei_Darussalam, 442400
Belize, 408487
Bahamas, 385340
Maldives, 374775
Iceland, 364260
Northern_Cyprus, 351965
Vanuatu, 304500
Barbados, 287025
New_Caledonia, 282200
French_Polynesia, 275918
Abkhazia, 244832
Sao_Tome_and_Principe, 201784
Samoa, 200874
Saint_Lucia, 178696
Guam, 172400
Curaçao, 158665
Artsakh, 148000
Kiribati, 120100
Aruba, 112309
Grenada, 112003
Saint_Vincent_and_the_Grenadines  , 110608
Jersey, 106800
United_States_Virgin_Islands, 104578
Micronesia, 104468
Tonga, 100651
Seychelles, 97625
Antigua_and_Barbuda, 96453
Isle_of_Man, 83314
Andorra, 77543
Dominica, 71808
Cayman_Islands, 65813
Bermuda, 64027
Guernsey, 62792
American Samoa, 56700
Greenland, 56081
Northern_Mariana_Islands, 56200
Marshall_Islands, 55500
South_Ossetia, 53532
Saint_Kitts_and_Nevis, 52823
Faroe Islands, 52124
Turks_and_Caicos_islands, 41369
Sint_Maarten, 40614
Liechtenstein, 38749
Monaco, 38300
Saint_Martin, 35746
Gibraltar, 33701
San_Marino, 33574
British_Virgin_Islands, 30030
Åland Islands, 29885
Palau, 17900
Cook_Islands, 15200
Anguilla, 14869
Wallis_and_Futuna, 11700
Nauru, 11000
Tuvalu, 10200
Saint_Barthélemy, 9793
Saint_Pierre_and_Miquelon, 6008
Saint_Helena_Ascension_and_Tristan_da_Cunha, 5633
Montserrat, 4989
Falkland_Islands_(Malvinas), 3198
Christmas_Island, 1928
Norfolk_Island, 1756
Niue, 1520
Tokelau, 1400
Holy_See, 825
Cocos_(Keeling)_Islands, 538
Pitcairn_Islands, 50
